#time,Andrea:member_47,Tony:member_48,Freddie:member_1057,Betty:member_1067,
20053587,55,55,56,56,
20053588,55,55,56,56,
20053589,55,55,56,56,
20053590,55,55,56,56,
20053591,55,55,56,56,
20053592,55,55,56,56,
20053593,55,55,56,56,
20053594,55,55,56,56,
20053595,55,55,56,56,
20053596,55,55,56,56,
20053597,55,55,56,56,
20053598,55,55,56,56,
20053599,55,55,56,56,
20053600,55,55,56,56,
20053601,55,55,56,56,
20053602,55,55,56,56,
20053603,55,55,56,56,
20053604,55,55,56,56,
20053605,55,55,56,56,
20053606,55,55,56,56,
20053607,55,55,56,56,
20053608,55,55,56,56,
20053609,55,55,56,56,
20053610,55,55,56,56,
20053611,55,55,56,56,
20053612,55,55,56,56,
20053613,55,55,56,56,
20053614,55,55,56,56,
20053615,55,55,56,56,
20053616,55,55,56,56,
20053617,55,55,56,56,
20053618,55,55,56,56,
20053619,55,55,56,56,
20053620,55,55,56,56,
20053621,55,55,56,56,
20053622,55,55,56,56,
20053623,55,55,56,56,
20053624,55,55,56,56,
20053625,55,55,56,56,
20053626,55,55,56,56,
20053627,55,55,56,56,
20053628,55,55,56,56,
20053629,55,55,56,56,
20053630,55,55,56,56,
20053631,55,55,56,56,
20053632,55,55,56,56,
20053633,55,55,56,56,
20053634,55,55,56,56,
20053635,55,55,56,56,
20053636,55,55,56,56,
20053637,55,55,56,56,
20053638,55,55,56,56,
20053639,55,55,56,56,
20053640,55,55,56,56,
20053641,55,55,56,56,
20053642,55,55,56,56,
20053643,55,55,56,56,
20053644,55,55,56,56,
20053645,55,55,56,56,
20053646,55,55,56,56,
20053647,55,55,56,56,
20053648,55,55,56,56,
20053649,55,55,56,56,
20053650,55,55,56,56,
20053651,55,55,56,56,
20053652,55,55,56,56,
20053653,55,55,56,56,
20053654,55,55,56,56,
20053655,55,55,56,56,
20053656,55,55,56,56,
20053657,55,55,56,56,
20053658,55,55,56,56,
20053659,55,55,56,56,
20053660,55,55,56,56,
20060011,55,55,56,56,
20060012,55,55,56,56,
20060013,55,55,56,56,
20060014,55,55,56,56,
20060015,55,55,56,56,
20060016,55,55,56,56,
20060017,55,55,56,56,
20060018,55,55,56,56,
20060019,55,55,56,56,
20060020,55,55,56,56,
20060021,55,55,56,56,
20060022,55,55,56,56,
20060023,55,55,56,56,
20060024,55,55,56,56,
20060025,55,55,56,56,
20060026,55,55,56,56,
20060027,55,55,56,56,
20060028,55,55,56,56,
20060029,55,55,56,56,
20060030,55,55,56,56,
20060031,55,55,56,56,
20060032,55,55,56,56,
20060033,55,55,56,56,
20060034,55,55,56,56,
20060035,55,55,56,56,
20060036,55,55,56,56,
20060037,55,55,56,56,
20060038,55,55,56,56,
20060039,55,55,56,56,
20060040,55,55,56,56,
20060041,55,55,56,56,
20060042,55,55,56,56,
20060043,55,55,56,56,
20060044,55,55,56,56,
20060045,55,55,56,56,
20060046,55,55,56,56,
20060047,55,55,56,56,
20060048,55,55,56,56,
20060049,55,55,56,56,
20060050,55,55,56,56,
20060051,55,55,56,56,
20060052,55,55,56,56,
20060053,55,55,56,56,
20060054,55,55,56,56,
20060055,55,55,56,56,
20060056,55,55,56,56,
20060057,55,55,56,56,
20060058,55,55,56,56,
20060059,55,55,56,56,
20060060,55,55,56,56,
20060061,55,55,56,56,
20060062,55,55,56,56,
20060063,55,55,56,56,
20060064,55,55,56,56,
20060065,55,55,56,56,
20060066,55,55,56,56,
20060067,55,55,56,56,
20060068,55,55,56,56,
20060069,55,55,56,56,
20060070,55,55,56,56,
20060071,55,55,56,56,
20060072,55,55,56,56,
20060073,55,55,56,56,
20060074,55,55,56,56,
20060075,55,55,56,56,
20060076,55,55,56,56,
20060077,55,55,56,56,
20060078,55,55,56,56,
20060079,55,55,56,56,
20060080,55,55,56,56,
20060081,55,55,56,56,
20060082,55,55,56,56,
20060083,55,55,56,56,
20060084,55,55,56,56,
20060085,55,55,56,56,
20060086,55,55,56,56,
20060087,55,55,56,56,
20060088,55,55,56,56,
20060089,55,55,56,56,
20060090,55,55,56,56,
20060091,55,55,56,56,
20060092,55,55,56,56,
20060093,55,55,56,56,
20060094,55,55,56,56,
20060095,55,55,56,56,
20060096,55,55,56,56,
20060097,55,55,56,56,
20060098,55,55,56,56,
20060099,55,55,56,56,
20060100,55,55,56,56,
20060101,55,55,56,56,
20060102,55,55,56,56,
20060103,55,55,56,56,
20060104,55,55,56,56,
20060105,55,55,56,56,
20060106,55,55,56,56,
20060107,55,55,56,56,
20060108,55,55,56,56,
20060109,55,55,56,56,
20060110,55,55,56,56,
20060111,55,55,56,56,
