Time	Energy 	Sigma 	Initial_temperature 	Density_of_water 	Depth_of_mixed_layer 	Specific_heat_of_water 	Heat_capacity 	Temperature 	Seconds_per_year 	Solar_constant 	Albedo 	Solar 	IR 	T_Celsius 	
Years	Stock 	Converter 	Converter 	Converter 	Converter 	Converter 	Converter 	Converter 	Converter 	Converter 	Converter 	Flow 	Flow 	Converter 	
0 	 10 	 0.1
8.9 	53771625105.918 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	254.96266053067 	31536000 	1367 	0.3 	7544199600 	7555537337.0955 	-18.187339469333
9 	53770491332.208 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	254.95728464774 	31536000 	1367 	0.3 	7544199600 	7554900123.7956 	-18.192715352261
9.1 	53769421279.829 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	254.95221090483 	31536000 	1367 	0.3 	7544199600 	7554298760.6805 	-18.19778909517
9.2 	53768411363.761 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	254.94742230327 	31536000 	1367 	0.3 	7544199600 	7553731226.7491 	-18.202577696726
9.3 	53767458201.086 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	254.94290280268 	31536000 	1367 	0.3 	7544199600 	7553195615.3721 	-18.207097197318
9.4 	53766558599.548 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	254.93863726671 	31536000 	1367 	0.3 	7544199600 	7552690127.7716 	-18.211362733293
9.5 	53765709546.771 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	254.93461141191 	31536000 	1367 	0.3 	7544199600 	7552213066.8773 	-18.215388588093
9.6 	53764908200.084 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	254.93081175952 	31536000 	1367 	0.3 	7544199600 	7551762831.5375 	-18.219188240476
9.7 	53764151876.93 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	254.92722558999 	31536000 	1367 	0.3 	7544199600 	7551337911.064 	-18.222774410006
9.8 	53763438045.823 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	254.92384090006 	31536000 	1367 	0.3 	7544199600 	7550936880.0903 	-18.226159099937
9.9 	53762764317.814 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	254.92064636233 	31536000 	1367 	0.3 	7544199600 	7550558393.7263 	-18.229353637675
10 	53762128438.442 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	254.91763128706 	31536000 	1367 	0.3 	7544199600 	7550201182.9901 	-18.232368712936
